	urls
153	https://www.cars-data.com/en/volkswagen-golf-sportsvan-2018/4347
154	https://www.cars-data.com/en/volkswagen-t-cross-2018/4349
155	https://www.cars-data.com/en/volkswagen-touareg-2018/4352
156	https://www.cars-data.com/en/volvo-v60-2018/4354
157	https://www.cars-data.com/en/volvo-v60-cross-country-2018/4355
158	https://www.cars-data.com/en/volvo-xc40-2018/4356
159	https://www.cars-data.com/en/abarth-695-2017/4118
160	https://www.cars-data.com/en/alfa-romeo-stelvio-2017/3699
161	https://www.cars-data.com/en/audi-a5-cabriolet-2017/3727
162	https://www.cars-data.com/en/audi-a5-sportback-2017/3722
163	https://www.cars-data.com/en/audi-a5-sportback-2017/3725
164	https://www.cars-data.com/en/audi-a8-2017/4133
165	https://www.cars-data.com/en/audi-q5-2017/3735
166	https://www.cars-data.com/en/audi-rs3-limousine-2017/4123
167	https://www.cars-data.com/en/audi-rs3-sportback-2017/4122
168	https://www.cars-data.com/en/audi-rs4-avant-2017/4126
169	https://www.cars-data.com/en/audi-rs5-coupe-2017/4129
170	https://www.cars-data.com/en/audi-s5-cabriolet-2017/3728
171	https://www.cars-data.com/en/audi-s5-sportback-2017/3723
172	https://www.cars-data.com/en/bentley-mulsanne-2017/3741
173	https://www.cars-data.com/en/bmw-2-serie-cabrio-2017/4143
174	https://www.cars-data.com/en/bmw-2-serie-coupe-2017/4142
175	https://www.cars-data.com/en/bmw-4-serie-cabrio-2017/3746
176	https://www.cars-data.com/en/bmw-4-serie-coupe-2017/3745
177	https://www.cars-data.com/en/bmw-4-serie-gran-coupe-2017/3744
178	https://www.cars-data.com/en/bmw-5-serie-2017/3747
179	https://www.cars-data.com/en/bmw-5-serie-touring-2017/3749
180	https://www.cars-data.com/en/bmw-6-serie-gt-2017/4148
181	https://www.cars-data.com/en/bmw-i3-2017/4152
182	https://www.cars-data.com/en/bmw-x3-2017/4157
183	https://www.cars-data.com/en/cadillac-ct6-2017/4162
184	https://www.cars-data.com/en/cadillac-st6-2017/3753
185	https://www.cars-data.com/en/cadillac-xt5-2017/3754
186	https://www.cars-data.com/en/citroen-c3-aircross-2017/4166
187	https://www.cars-data.com/en/citroen-jumpy-combi-2017/3772
188	https://www.cars-data.com/en/citroen-spacetourer-2017/4171
189	https://www.cars-data.com/en/ds-ds7-crossback-2017/4363
190	https://www.cars-data.com/en/ferrari-812-superfast-2017/4173
191	https://www.cars-data.com/en/fiat-500l-2017/4177
192	https://www.cars-data.com/en/fiat-500l-wagon-2017/4178
193	https://www.cars-data.com/en/fiat-tipo-2017/3799
194	https://www.cars-data.com/en/fiat-tipo-stationwagon-2017/3801
195	https://www.cars-data.com/en/ford-fiesta-2017/3803
196	https://www.cars-data.com/en/ford-fiesta-2017/3805
197	https://www.cars-data.com/en/honda-civic-2017/4193
198	https://www.cars-data.com/en/honda-civic-2017/3825
199	https://www.cars-data.com/en/hyundai-i10-2017/3833
200	https://www.cars-data.com/en/hyundai-i30-2017/3834
201	https://www.cars-data.com/en/hyundai-i30-wagon-2017/4199
202	https://www.cars-data.com/en/hyundai-kona-2017/4201
203	https://www.cars-data.com/en/jaguar-e-pace-2017/4206
204	https://www.cars-data.com/en/jaguar-f-type-convertible-2017/3610
205	https://www.cars-data.com/en/jaguar-f-type-coupe-2017/3609
206	https://www.cars-data.com/en/jaguar-xf-sportbrake-2017/4209
207	https://www.cars-data.com/en/jeep-compass-2017/4212
208	https://www.cars-data.com/en/kia-picanto-2017/3842
209	https://www.cars-data.com/en/kia-rio-2017/3843
210	https://www.cars-data.com/en/kia-sorento-2017/4223
211	https://www.cars-data.com/en/kia-stinger-2017/4226
212	https://www.cars-data.com/en/kia-stonic-2017/4227
213	https://www.cars-data.com/en/lamborghini-aventador-2017/4228
214	https://www.cars-data.com/en/lamborghini-aventador-roadster-2017/4230
215	https://www.cars-data.com/en/land-rover-range-rover-2017/4234
216	https://www.cars-data.com/en/land-rover-range-rover-sport-2017/4236
217	https://www.cars-data.com/en/land-rover-range-rover-velar-2017/4237
218	https://www.cars-data.com/en/lexus-is-2017/3621
219	https://www.cars-data.com/en/lexus-lc-2017/4240
220	https://www.cars-data.com/en/lexus-nx-2017/4242
221	https://www.cars-data.com/en/maserati-ghibli-2017/4245
222	https://www.cars-data.com/en/maserati-quattroporte-2017/4248
223	https://www.cars-data.com/en/mazda-cx-5-2017/3863
224	https://www.cars-data.com/en/mazda-mx-5-rf-2017/3864
225	https://www.cars-data.com/en/mclaren-570s-spider-2017/4367
226	https://www.cars-data.com/en/mclaren-720s-2017/4372
227	https://www.cars-data.com/en/mercedes-benz-e-class-all-terrain-2017/3884
228	https://www.cars-data.com/en/mercedes-benz-e-class-cabriolet-2017/4264
229	https://www.cars-data.com/en/mercedes-benz-e-class-coupe-2017/3888
230	https://www.cars-data.com/en/mercedes-benz-gla-2017/3892
231	https://www.cars-data.com/en/mercedes-benz-s-class-2017/4271
232	https://www.cars-data.com/en/mini-countryman-2017/3626
233	https://www.cars-data.com/en/mitsubishi-eclipse-cross-2017/4282
234	https://www.cars-data.com/en/nissan-leaf-2017/4283
235	https://www.cars-data.com/en/nissan-micra-2017/3931
236	https://www.cars-data.com/en/nissan-qashqai-2017/4285
237	https://www.cars-data.com/en/nissan-x-trail-2017/4286
238	https://www.cars-data.com/en/opel-ampera-e-2017/4287
239	https://www.cars-data.com/en/opel-crossland-x-2017/3953
240	https://www.cars-data.com/en/opel-grandland-x-2017/4293
241	https://www.cars-data.com/en/opel-insignia-country-tourer-2017/4294
242	https://www.cars-data.com/en/opel-insignia-grand-sport-2017/3954
243	https://www.cars-data.com/en/opel-insignia-sports-tourer-2017/3955
244	https://www.cars-data.com/en/opel-karl-rocks-2017/3956
245	https://www.cars-data.com/en/peugeot-308-2017/4296
246	https://www.cars-data.com/en/peugeot-308-sw-2017/4297
247	https://www.cars-data.com/en/peugeot-5008-2017/4298
248	https://www.cars-data.com/en/peugeot-5008-2017/3967
249	https://www.cars-data.com/en/porsche-cayenne-2017/4304
250	https://www.cars-data.com/en/porsche-panamera-sport-turismo-2017/4307
251	https://www.cars-data.com/en/renault-captur-2017/4308
252	https://www.cars-data.com/en/renault-koleos-2017/4311
253	https://www.cars-data.com/en/seat-arona-2017/4314
254	https://www.cars-data.com/en/seat-ibiza-2017/4316
255	https://www.cars-data.com/en/seat-leon-2017/4023
256	https://www.cars-data.com/en/seat-leon-sc-2017/4022
257	https://www.cars-data.com/en/seat-leon-st-2017/4024
258	https://www.cars-data.com/en/seat-leon-st-2017/4025
259	https://www.cars-data.com/en/skoda-citigo-2017/4318
260	https://www.cars-data.com/en/skoda-kodiaq-2017/4029
261	https://www.cars-data.com/en/skoda-octavia-2017/4030
262	https://www.cars-data.com/en/skoda-octavia-combi-2017/4031
263	https://www.cars-data.com/en/skoda-rapid-spaceback-2017/4322
264	https://www.cars-data.com/en/subaru-brz-2017/3658
265	https://www.cars-data.com/en/subaru-impreza-2017/4324
266	https://www.cars-data.com/en/subaru-outback-2017/4325
267	https://www.cars-data.com/en/subaru-xv-2017/4326
268	https://www.cars-data.com/en/suzuki-swift-2017/4051
269	https://www.cars-data.com/en/toyota-land-cruiser-2017/4338
270	https://www.cars-data.com/en/toyota-land-cruiser-2017/4339
271	https://www.cars-data.com/en/toyota-mirai-2017/4340
272	https://www.cars-data.com/en/toyota-prius-plug-in-hybrid-2017/4077
273	https://www.cars-data.com/en/toyota-yaris-2017/4092
274	https://www.cars-data.com/en/toyota-yaris-2017/4093
275	https://www.cars-data.com/en/volkswagen-arteon-2017/4346
